,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,0.5142857142857142,0.8285714285714286,0.7428571428571429,0.3223684210526316,0.7445175438596492,0.5855263157894737,0.2619047619047619,0.7495421245421245,0.5317460317460317
MobileNet,0.6,0.8571428571428571,0.6857142857142857,0.48355263157894735,0.7576754385964912,0.5307017543859649,0.4169037458511143,0.7655854207711793,0.48844537815126055
SqueezeNet,0.5428571428571428,0.8571428571428571,0.6,0.25,0.7576754385964912,0.5487938596491229,0.17592592592592593,0.7932692307692307,0.5303030303030303
DenseNet,0.5142857142857142,0.8571428571428571,0.6,0.36896929824561403,0.7576754385964912,0.5016447368421053,0.3221403221403222,0.8064393939393939,0.4378342245989305
VGG11,0.45714285714285713,0.8285714285714286,0.6285714285714286,0.2675438596491228,0.7445175438596492,0.4967105263157895,0.2222222222222222,0.793939393939394,0.4261904761904762
VGG13,0.4857142857142857,0.8285714285714286,0.7142857142857143,0.3739035087719298,0.7445175438596492,0.543859649122807,0.34509803921568627,0.768922305764411,0.5096334586466166
VGG16,0.5428571428571428,0.8285714285714286,0.6571428571428571,0.3821271929824561,0.7445175438596492,0.5279605263157895,0.33421052631578946,0.768922305764411,0.4641241111829347
VGG19,0.6,0.8857142857142857,0.7142857142857143,0.4550438596491228,0.7993421052631579,0.5723684210526316,0.40819242676827816,0.8367216117216116,0.5200742240215924
