,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,0.42857142857142855,0.8285714285714286,0.6285714285714286,0.29914529914529914,0.6957264957264957,0.4205128205128205,0.2367914438502674,0.6712781954887219,0.38376526022702934
MobileNet,0.42857142857142855,0.8285714285714286,0.6,0.29914529914529914,0.6444444444444444,0.40512820512820513,0.26415584415584414,0.6593103448275863,0.3779220779220779
SqueezeNet,0.4,0.8,0.5428571428571428,0.27692307692307694,0.6290598290598289,0.36752136752136755,0.20341880341880342,0.6438095238095239,0.3488733488733489
DenseNet,0.4857142857142857,0.8285714285714286,0.6571428571428571,0.3162393162393162,0.6512820512820513,0.43589743589743585,0.26784163473818645,0.6628571428571429,0.4105820105820106
VGG11,0.42857142857142855,0.8571428571428571,0.6571428571428571,0.28547008547008546,0.6666666666666666,0.44273504273504277,0.2777777777777778,0.661531279178338,0.41474358974358977
VGG13,0.4,0.8,0.5714285714285714,0.29059829059829057,0.6290598290598289,0.3897435897435898,0.25178481649069884,0.6410260946483858,0.3622415458937198
VGG16,0.42857142857142855,0.8285714285714286,0.6285714285714286,0.305982905982906,0.6512820512820513,0.44102564102564096,0.253734335839599,0.6660130718954249,0.40740740740740744
VGG19,0.34285714285714286,0.8571428571428571,0.7428571428571429,0.25982905982905985,0.711111111111111,0.5094017094017094,0.1891035793474818,0.7111111111111111,0.47030303030303033
