,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,0.37142857142857144,0.8571428571428571,0.6,0.2683760683760684,0.8512820512820513,0.41196581196581195,0.2004551920341394,0.8111111111111111,0.38095238095238093
MobileNet,0.34285714285714286,0.8285714285714286,0.6285714285714286,0.252991452991453,0.8358974358974358,0.42735042735042733,0.18,0.8525217391304348,0.39652173913043476
SqueezeNet,0.37142857142857144,0.8571428571428571,0.6857142857142857,0.26153846153846155,0.8581196581196581,0.4649572649572649,0.17894736842105263,0.8739366515837104,0.43843700159489635
DenseNet,0.5714285714285714,0.8285714285714286,0.5714285714285714,0.38974358974358975,0.8427350427350427,0.41025641025641024,0.3487179487179487,0.8589130434782609,0.3722875816993464
VGG11,0.4857142857142857,0.8571428571428571,0.6571428571428571,0.3367521367521367,0.8581196581196581,0.4632478632478632,0.2985185185185185,0.8557619047619047,0.42735042735042744
VGG13,0.34285714285714286,0.8285714285714286,0.5714285714285714,0.252991452991453,0.8427350427350427,0.40341880341880343,0.18113821138211383,0.8540350877192981,0.3681007793316964
VGG16,0.4857142857142857,0.8285714285714286,0.5428571428571428,0.3504273504273504,0.8427350427350427,0.37435897435897436,0.3058201058201058,0.8555555555555555,0.3459694989106754
VGG19,0.37142857142857144,0.8571428571428571,0.6571428571428571,0.28205128205128205,0.8581196581196581,0.4564102564102564,0.21318681318681318,0.8143625730994153,0.4227878787878788
