,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,0.3142857142857143,0.8285714285714286,0.5428571428571428,0.2376068376068376,0.8871794871794872,0.388034188034188,0.18408602150537634,0.882456140350877,0.34754887218045116
MobileNet,0.4857142857142857,0.8285714285714286,0.6,0.3572649572649572,0.8871794871794872,0.4632478632478632,0.29963054187192123,0.8823340961098399,0.456024844720497
SqueezeNet,0.34285714285714286,0.8571428571428571,0.5142857142857142,0.252991452991453,0.9025641025641026,0.41025641025641024,0.19603174603174603,0.8805555064130915,0.3988034188034188
DenseNet,0.42857142857142855,0.8857142857142857,0.6,0.3196581196581197,0.9247863247863247,0.4256410256410256,0.2500438596491228,0.888888888888889,0.38939271255060726
VGG11,0.4,0.8285714285714286,0.5714285714285714,0.30427350427350425,0.8871794871794872,0.4547008547008547,0.22703533026113668,0.8847058823529412,0.43611111111111106
VGG13,0.45714285714285713,0.8285714285714286,0.5142857142857142,0.3350427350427351,0.8940170940170941,0.3658119658119658,0.2834498834498834,0.8640847643405187,0.332
VGG16,0.3142857142857143,0.8857142857142857,0.45714285714285713,0.2376068376068376,0.9247863247863247,0.3145299145299146,0.16705882352941176,0.9201754385964913,0.29298245614035084
VGG19,0.5142857142857142,0.8285714285714286,0.5428571428571428,0.37948717948717947,0.8871794871794872,0.452991452991453,0.3147261663286004,0.8645555064130915,0.40555555555555556
