,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,0.4857142857142857,0.8285714285714286,0.5428571428571428,0.3094017094017094,0.6512820512820513,0.3538461538461538,0.28236559139784945,0.6617543859649123,0.3186813186813187
MobileNet,0.4857142857142857,0.8857142857142857,0.6857142857142857,0.3299145299145299,0.6888888888888889,0.4581196581196581,0.2944664031620553,0.7098039215686275,0.4296296296296296
SqueezeNet,0.2571428571428571,0.8285714285714286,0.6,0.2,0.6444444444444444,0.40512820512820513,0.08181818181818182,0.6553118089341,0.37504025764895327
DenseNet,0.4857142857142857,0.8285714285714286,0.7428571428571429,0.3367521367521368,0.6444444444444444,0.5094017094017094,0.32339544513457563,0.6318313532309475,0.4738755980861244
VGG11,0.6,0.8857142857142857,0.7142857142857143,0.3914529914529915,0.6888888888888889,0.5316239316239316,0.36477272727272725,0.6876436781609195,0.5427350427350427
VGG13,0.4,0.8,0.6285714285714286,0.28376068376068375,0.6290598290598289,0.4205128205128205,0.24242424242424243,0.6222222222222221,0.3911076136140075
VGG16,0.45714285714285713,0.8571428571428571,0.6285714285714286,0.3145299145299146,0.6666666666666666,0.44102564102564096,0.2779220779220779,0.6609259259259259,0.4058869395711501
VGG19,0.37142857142857144,0.8285714285714286,0.7142857142857143,0.2683760683760684,0.6444444444444444,0.5247863247863248,0.24928571428571428,0.6655197132616488,0.5374727668845316
