,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,96.0,98.8,99.2,50.0,94.6,90.0,49.0,93.7,93.1
MobileNet,96.0,98.0,98.0,50.0,89.4,89.4,49.0,87.8,87.8
SqueezeNet,96.0,98.0,98.0,50.0,89.4,89.4,49.0,87.5,87.5
DenseNet,96.0,98.8,99.2,50.0,89.8,90.0,49.0,91.0,93.1
VGG11,96.0,98.4,98.8,50.0,89.6,89.8,49.0,89.2,91.4
VGG13,96.0,99.2,99.2,50.0,90.0,90.0,49.0,93.1,93.1
VGG16,96.0,99.2,99.2,50.0,94.8,90.0,49.0,94.5,89.8
VGG19,96.0,98.4,98.8,50.0,89.6,89.8,49.0,89.6,91.0
