,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,96.0,98.0,98.8,50.0,89.4,89.8,49.0,87.5,91.0
MobileNet,96.0,98.4,98.4,59.6,89.6,89.6,55.6,89.6,89.6
SqueezeNet,96.0,98.4,98.8,50.0,89.6,89.8,49.0,88.9,91.0
DenseNet,96.0,98.4,98.8,54.8,89.6,89.8,54.0,89.2,91.0
VGG11,96.0,98.0,99.2,50.0,89.4,90.0,49.0,87.1,93.1
VGG13,96.0,99.2,99.2,50.0,90.0,90.0,49.0,93.1,93.1
VGG16,96.0,98.8,98.4,50.0,89.8,84.8,49.0,91.0,84.3
VGG19,96.0,98.0,98.0,50.0,89.4,89.4,49.0,87.5,87.5
