,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,96.0,98.8,99.2,50.0,89.8,90.0,49.0,91.0,93.1
MobileNet,96.0,98.8,98.8,50.0,89.8,89.8,49.0,91.0,91.0
SqueezeNet,96.0,98.4,98.4,50.0,89.6,89.6,49.0,88.9,88.9
DenseNet,95.6,98.0,98.4,49.8,89.4,89.6,48.9,87.1,89.2
VGG11,96.0,99.2,99.2,50.0,90.0,90.0,49.0,93.1,93.1
VGG13,96.0,98.0,98.8,50.0,89.4,89.8,49.0,87.8,91.4
VGG16,96.0,98.0,98.0,50.0,89.4,84.6,49.0,87.8,82.8
VGG19,96.0,98.4,98.4,50.0,89.6,89.6,49.0,89.6,89.6
