,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,0.9428571428571428,1.0,1.0,0.5,1.0,1.0,0.4852941176470588,1.0,1.0
MobileNet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SqueezeNet,0.9428571428571428,1.0,1.0,0.5,1.0,1.0,0.4852941176470588,1.0,1.0
DenseNet,0.9714285714285714,1.0,1.0,0.75,1.0,1.0,0.8258706467661692,1.0,1.0
VGG11,0.9428571428571428,0.9142857142857143,1.0,0.5,0.9545454545454546,1.0,0.4852941176470588,0.7619047619047619,1.0
VGG13,0.9428571428571428,1.0,1.0,0.5,1.0,1.0,0.4852941176470588,1.0,1.0
VGG16,0.9428571428571428,1.0,1.0,0.5,1.0,1.0,0.4852941176470588,1.0,1.0
VGG19,0.9428571428571428,1.0,1.0,0.5,1.0,1.0,0.4852941176470588,1.0,1.0
