"","Q_D","Q_A","Q_L","V4"
"1",0.107389985500625,-0.0745011159729912,0.0691497453740955,"1_resnet18_d"
"3",0.0223594100938537,-0.191038804789013,0.00654707452457699,"1_resnet18_l"
"4",0.0626441582086981,-0.0745011159729912,-0.0497878166693487,"1_mobilenet_d"
"6",-0.0557287104858465,-0.221179381853254,0.0252359191149052,"1_mobilenet_l"
"7",0.206533224098771,0.288524962845278,0.0590253914953234,"1_squeezenet_d"
"9",0.0275692177999197,-0.0109291249246994,0.0365187327062729,"1_squeezenet_l"
"10",-0.00783399306070076,-0.0869565217391304,0.0338984044534884,"1_densenet_d"
"12",-0.136484935890588,-0.185927992669892,-0.109296167571644,"1_densenet_l"
"13",0.293249996204782,-0.0739782946646091,0.0274657912030315,"1_vgg11_d"
"15",-0.0790570078985264,-0.17262781022693,0.0468667069276811,"1_vgg11_l"
"16",0.262734734904865,-0.0442506520246152,0.0816749122672551,"1_vgg13_d"
"18",-0.0277649630339464,-0.110545785315006,0.00111933106556418,"1_vgg13_l"
"19",0.141011875092614,0.184782608695652,0.0338984044534884,"1_vgg16_d"
"21",0.143125755710178,0.156385810542806,0.194642873833849,"1_vgg16_l"
"22",0.162685084249879,0.316012864350144,0.11397338145046,"1_vgg19_d"
"24",-0.209838657414597,-0.210744084771266,-0.0147058353067486,"1_vgg19_l"
"25",0.166988567501442,-0.0421262731871135,-0.103224971998164,"2_resnet18_d"
"27",-0.00626959370870851,0.0782908300502524,0.00116267594489493,"2_resnet18_l"
"30",0.0892011170035205,0.126240717632207,0.101457965742819,"2_mobilenet_l"
"31",0.166988567501442,-0.0421262731871135,0.00938408836346946,"2_squeezenet_d"
"33",0.0691712935875485,0.0303076691136664,0.0978947920447993,"2_squeezenet_l"
"34",0.15349454184476,0.147441956154897,0.0481716535991432,"2_densenet_d"
"36",0.118277534232717,0.0984651399713964,0.0296756654235319,"2_densenet_l"
"37",0.34191957676323,-0.0862561893563502,0.110483433237018,"2_vgg11_d"
"39",0.262499089808468,0.0757276906388839,0.279546275869207,"2_vgg11_l"
"42",0.239763056741433,0.0647354288350986,0.165836039897948,"2_vgg13_l"
"43",0.409296049262095,0.45776424604404,0.25714677094038,"2_vgg16_d"
