"","Q_D","Q_A","Q_L","V4"
"1",0.505857143704006,-0.00912837121019082,0.226390163670906,"1_resnet18_d"
"2",0.166988567501442,0.484452141651805,0.00938408836346946,"1_resnet18_a"
"3",0.0851544041114842,-0.150149780614827,0.245647263083711,"1_resnet18_l"
"4",0.389721566214832,-0.0483814354832855,0.266267504225038,"1_mobilenet_d"
"5",0.166988567501442,0.484452141651805,0.00938408836346946,"1_mobilenet_a"
"6",0.135971799141146,-0.159634650970933,0.332974331254661,"1_mobilenet_l"
"7",0.452785534480985,-0.0208090172693766,0.270179717013247,"1_squeezenet_d"
"8",0.166988567501442,0.484452141651805,0.00938408836346946,"1_squeezenet.a"
"9",0.104106100185765,-0.172848163430644,0.361176677530294,"1_squeezenet_l"
"10",0.495635900520195,-0.0237817340221447,0.309912028338724,"1_densenet_d"
"11",0.0325370168499758,0.316012864350144,0.11397338145046,"1_densenet_a"
"12",0.185936147096257,-0.159199003990844,0.315350756267125,"1_densenet_l"
"13",0.585230025762629,0.00961577974923242,0.254186393497455,"1_vgg11_d"
"14",0.166988567501442,0.484452141651805,0.00938408836346946,"1_vgg11_a"
"15",0.0575052811152098,-0.158761523075881,0.236135171371449,"1_vgg11_l"
"16",0.604190161152861,-0.0208090172693766,0.328453773623947,"1_vgg13_d"
"17",0.238604790233156,0.316012864350144,0.11397338145046,"1_vgg13_a"
"18",0.150798351423706,-0.166730781562928,0.318976559301487,"1_vgg13_l"
"19",0.528214126389759,-0.0298732478547018,0.323413213922368,"1_vgg16_d"
"20",0.0325370168499758,0.316012864350144,0.11397338145046,"1_vgg16_a"
"21",0.13115302591872,-0.158414123265535,0.361571190676338,"1_vgg16_l"
"22",0.488793942801076,0.121727369904355,0.303442113683094,"1_vgg19_d"
"23",0.166988567501442,0.484452141651805,0.00938408836346946,"1_vgg19_a"
"24",0.194706974381763,-0.0146468731287095,0.369778478199442,"1_vgg19_l"
"25",0.512653718126027,0.218691762434075,0.249484884412164,"2_resnet18_d"
"26",0.28921792755534,0.692218655243173,0.11397338145046,"2_resnet18_a"
"27",0.0730584689843992,0.0168946152823043,0.325808146768961,"2_resnet18_l"
"28",0.53392045578816,0.216253775836686,0.303859800189246,"2_mobilenet_d"
"29",0.28921792755534,0.692218655243173,0.11397338145046,"2_mobilenet_a"
"30",0.0439810993206032,0.029686968499788,0.281056627353342,"2_mobilenet_l"
"31",0.50994199220486,0.216253775836686,0.257910269428921,"2_squeezenet_d"
"32",0.337085232265852,0.546341517135269,0.182555327787612,"2_squeezenet.a"
"33",0.0184853166841501,0.00480902635728771,0.346018029399035,"2_squeezenet_l"
"34",0.501119357048611,0.195152294997666,0.198119704997339,"2_densenet_d"
"35",0.167051088556528,0.546341517135269,0.0331918777795658,"2_densenet_a"
"36",-0.0234073957660037,0.019486477422928,0.272386837600953,"2_densenet_l"
"37",0.465737311420441,0.233733566186358,0.179170736469691,"2_vgg11_d"
"38",0.28921792755534,0.692218655243173,0.11397338145046,"2_vgg11_a"
"39",0.0127630822583368,-0.00965924370696191,0.33028629417105,"2_vgg11_l"
"40",0.627347518929134,0.176934555154225,0.258230365726678,"2_vgg13_d"
"41",0.326416377529199,0.456521739130435,0.0920099549451829,"2_vgg13_a"
"42",0.227293014618131,-0.0120675823445031,0.456991625005969,"2_vgg13_l"
"43",0.523401322098365,0.167353472186832,0.220967644780585,"2_vgg16_d"
"44",0.28921792755534,0.692218655243173,0.11397338145046,"2_vgg16_a"
"45",0.0734134110040555,-0.0194019369920597,0.30686155916653,"2_vgg16_l"
"46",0.538383708233056,0.17118761737055,0.20938986147779,"2_vgg19_d"
"47",0.232408460800789,0.456521739130435,0.106537842568106,"2_vgg19_a"
"48",0.149355983237334,-0.0120482277492967,0.343535946439249,"2_vgg19_l"
"49",0.375864949252188,0.0186252789932478,0.352663701407887,"3_resnet18_d"
"50",0.237832202199023,0.484452141651805,0.150145413815511,"3_resnet18_a"
"51",0.107222817799972,-0.0347130674096488,0.265121679419658,"3_resnet18_l"
"52",0.428066693478039,0.0287388902200063,0.378423558297859,"3_mobilenet_d"
"53",0.237832202199023,0.484452141651805,0.150145413815511,"3_mobilenet_a"
"54",0.0707258563373316,-0.127570587907748,0.290735386363278,"3_mobilenet_l"
"55",0.574753783969059,0.159492705453974,0.335549263589242,"3_squeezenet_d"
"56",0.237832202199023,0.484452141651805,0.150145413815511,"3_squeezenet.a"
"57",0.140272948402374,0.0245328053668746,0.369430678912737,"3_squeezenet_l"
"58",0.531076897183303,0.0511710003642638,0.398201584638365,"3_densenet_d"
"59",0.237832202199023,0.484452141651805,0.150145413815511,"3_densenet_a"
"60",0.211350176847785,0.0344031231028093,0.333917144266788,"3_densenet_l"
"61",0.418077307386039,0.0254978865518364,0.282576680026089,"3_vgg11_d"
"62",0.237832202199023,0.484452141651805,0.150145413815511,"3_vgg11_a"
"63",0.0606938053940138,-0.0704464757347393,0.308443184158358,"3_vgg11_l"
"64",0.559328765139062,0.176471433982195,0.456558673002958,"3_vgg13_d"
"65",0.237832202199023,0.484452141651805,0.150145413815511,"3_vgg13_a"
"66",0.077286604559246,-0.126731298612428,0.374600783133143,"3_vgg13_l"
"67",0.404148145174383,0.018691679485471,0.273421301090964,"3_vgg16_d"
"68",0.237832202199023,0.484452141651805,0.150145413815511,"3_vgg16_a"
"69",0.0592697585999865,-0.033861895660501,0.350215720575291,"3_vgg16_l"
"70",0.544890838951549,0.152241470832841,0.397271886087439,"3_vgg19_d"
"71",0.237832202199023,0.484452141651805,0.150145413815511,"3_vgg19_a"
"72",0.186099309728257,0.0394716554974729,0.383583423066583,"3_vgg19_l"
"73",0.663751301904692,0.13143061622564,0.358806430962113,"4_resnet18_d"
"74",0.28921792755534,0.692218655243173,0.11397338145046,"4_resnet18_a"
"75",0.100353897838541,-0.0984280993275806,0.424614473289868,"4_resnet18_l"
"76",0.548382209325723,0.0982946374365981,0.253022826985399,"4_mobilenet_d"
"77",0.28921792755534,0.692218655243173,0.11397338145046,"4_mobilenet_a"
"78",0.15279599854678,-0.0664485430680985,0.411288037065895,"4_mobilenet_l"
"79",0.601603397352282,0.145590178356627,0.268535349561136,"4_squeezenet_d"
"80",0.28921792755534,0.692218655243173,0.11397338145046,"4_squeezenet.a"
"81",0.162298670582062,-0.0838463464671812,0.487754565847732,"4_squeezenet_l"
"82",0.534570694916089,0.111535339087653,0.294421750887844,"4_densenet_d"
"83",0.28921792755534,0.692218655243173,0.11397338145046,"4_densenet_a"
"84",0.105177549991272,-0.0761386987626881,0.430378482570422,"4_densenet_l"
"85",0.710162278125154,0.157298425704308,0.294864448965267,"4_vgg11_d"
"86",0.28921792755534,0.692218655243173,0.11397338145046,"4_vgg11_a"
"87",0.100674688953479,-0.0987427344379702,0.415242027117242,"4_vgg11_l"
"88",0.617866584357084,0.148040794530759,0.329777070737848,"4_vgg13_d"
"89",0.28921792755534,0.692218655243173,0.11397338145046,"4_vgg13_a"
