,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,66.4,89.2,76.8,32.0,83.4,55.3,28.8,82.4,48.8
MobileNet,67.2,90.4,72.4,24.7,85.0,50.4,20.2,84.6,43.1
SqueezeNet,68.0,88.4,70.8,25.0,83.6,47.7,20.2,83.8,40.8
DenseNet,69.2,87.6,71.2,30.8,82.8,49.0,30.0,81.2,42.4
VGG11,66.8,90.4,74.0,31.1,84.8,50.1,30.2,85.3,44.5
VGG13,63.2,90.0,73.6,32.4,83.7,51.1,28.9,84.0,44.4
VGG16,65.2,88.8,73.2,33.4,83.2,51.9,29.7,81.2,44.6
VGG19,63.6,90.0,72.4,36.9,85.1,54.3,34.7,84.4,48.7
