,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,62.8,88.4,71.2,25.1,83.8,51.6,21.5,81.8,44.9
MobileNet,64.0,88.8,66.0,28.6,83.9,45.5,25.5,83.8,37.6
SqueezeNet,66.0,90.4,72.8,32.9,84.8,51.5,31.4,83.6,45.9
DenseNet,69.6,89.6,73.2,41.2,84.2,50.9,37.3,84.1,43.5
VGG11,67.2,90.4,70.8,25.9,83.8,50.6,22.4,84.7,44.3
VGG13,66.0,88.0,66.8,33.2,84.4,47.2,32.4,81.7,40.8
VGG16,63.2,89.2,73.2,27.4,83.4,52.6,23.9,83.3,45.7
VGG19,66.0,88.4,71.6,31.1,84.0,49.6,27.5,83.8,41.8
