,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,68.4,88.0,70.4,28.6,82.9,48.8,25.6,81.9,42.7
MobileNet,67.6,88.8,70.8,29.4,83.7,47.2,26.7,82.9,39.9
SqueezeNet,64.8,88.8,63.6,27.9,83.9,44.1,24.5,83.5,36.3
DenseNet,65.2,89.2,73.2,33.7,83.4,50.8,30.6,83.6,44.9
VGG11,67.2,90.4,70.4,34.9,83.8,50.6,31.5,85.5,44.2
VGG13,69.6,88.0,71.6,37.8,83.9,52.7,36.1,82.2,45.5
VGG16,68.4,90.8,81.2,36.3,85.9,62.2,34.5,83.3,55.9
VGG19,63.6,88.8,67.2,32.6,84.4,46.4,27.8,82.8,38.9
