,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,69.2,90.4,72.0,31.6,85.0,50.7,29.1,85.0,43.8
MobileNet,67.2,89.2,67.2,27.5,83.4,43.3,24.4,83.9,35.2
SqueezeNet,64.0,88.8,70.0,32.5,83.2,50.2,28.5,82.6,42.8
DenseNet,62.0,86.8,61.2,24.2,82.5,41.6,21.0,81.2,33.3
VGG11,68.8,90.0,72.8,28.8,85.7,52.7,28.1,83.9,45.8
VGG13,64.4,90.4,76.0,34.7,84.3,55.1,27.8,84.7,48.4
VGG16,64.0,88.8,76.8,31.3,83.2,55.0,29.5,83.5,49.5
VGG19,65.2,89.6,70.4,29.9,83.5,49.2,26.7,83.5,43.6
