,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,0.3142857142857143,0.8571428571428571,0.6285714285714286,0.22393162393162394,0.6666666666666666,0.4205128205128205,0.15058823529411763,0.6828070175438596,0.39551282051282055
MobileNet,0.4857142857142857,0.8571428571428571,0.6,0.3299145299145299,0.6666666666666666,0.40512820512820513,0.3073801560758082,0.6793103448275862,0.37777777777777777
SqueezeNet,0.45714285714285713,0.8285714285714286,0.5714285714285714,0.30085470085470084,0.6512820512820513,0.3829059829059829,0.2542857142857143,0.6614141414141413,0.35080745341614905
DenseNet,0.34285714285714286,0.8285714285714286,0.5142857142857142,0.252991452991453,0.6512820512820513,0.3521367521367521,0.18,0.6472455648926237,0.32592592592592595
VGG11,0.45714285714285713,0.8285714285714286,0.6285714285714286,0.30085470085470084,0.6512820512820513,0.42735042735042733,0.274074074074074,0.651791751183232,0.4
VGG13,0.5142857142857142,0.8285714285714286,0.6857142857142857,0.3658119658119658,0.6512820512820513,0.47179487179487173,0.3253968253968254,0.6729411764705884,0.4364988558352403
VGG16,0.42857142857142855,0.8571428571428571,0.6571428571428571,0.30598290598290595,0.6735042735042734,0.4632478632478632,0.2687208216619981,0.6832517482517483,0.4203809523809524
VGG19,0.34285714285714286,0.8285714285714286,0.5714285714285714,0.24615384615384617,0.6512820512820513,0.38974358974358975,0.19087719298245615,0.6680009015100292,0.3576489533011272
