,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.5,0.75,0.75,0.4852941176470588,0.8258706467661692,0.8258706467661692
MobileNet,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.5,0.7348484848484849,0.7348484848484849,0.4852941176470588,0.7348484848484849,0.7348484848484849
SqueezeNet,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.5,0.75,0.75,0.4852941176470588,0.8258706467661692,0.8258706467661692
DenseNet,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.5,0.7348484848484849,0.7348484848484849,0.4852941176470588,0.7348484848484849,0.7348484848484849
VGG11,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.5,0.75,0.75,0.4852941176470588,0.8258706467661692,0.8258706467661692
VGG13,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.5,0.7348484848484849,0.7348484848484849,0.4852941176470588,0.7348484848484849,0.7348484848484849
VGG16,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.5,0.75,0.75,0.4852941176470588,0.8258706467661692,0.8258706467661692
VGG19,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.5,0.7348484848484849,0.7348484848484849,0.4852941176470588,0.7348484848484849,0.7348484848484849
