,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,27.2,84.0,41.6,30.9,83.6,45.7,21.4,82.9,38.8
MobileNet,24.4,85.6,44.4,27.2,85.0,48.8,19.2,83.1,40.9
SqueezeNet,28.8,82.4,39.2,35.0,81.9,45.9,24.8,80.5,35.5
DenseNet,25.6,84.4,44.0,28.2,83.5,45.8,21.8,82.9,40.6
VGG11,26.8,85.6,49.2,34.2,84.8,49.9,22.5,83.9,43.8
VGG13,28.8,83.2,38.4,31.6,82.6,38.5,25.2,82.8,35.1
VGG16,27.6,83.6,39.2,30.7,83.1,42.5,22.6,81.4,36.0
VGG19,30.8,84.4,46.4,39.8,83.6,52.7,26.5,82.6,43.3
