,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,26.0,83.6,38.0,31.1,82.7,43.6,21.3,81.5,35.7
MobileNet,26.8,83.2,36.8,32.0,82.7,40.5,20.6,81.9,33.4
SqueezeNet,21.2,82.8,32.8,27.8,82.1,39.4,16.5,82.0,31.1
DenseNet,23.2,81.2,33.2,28.3,80.9,40.7,18.0,81.6,29.1
VGG11,26.0,83.6,36.8,33.2,83.2,44.6,23.9,83.0,34.5
VGG13,26.8,84.8,45.2,32.2,84.3,55.7,22.0,84.1,43.3
VGG16,29.6,83.2,42.0,35.3,82.7,50.5,25.6,82.0,40.4
VGG19,28.0,83.2,36.8,35.8,83.0,44.2,23.1,82.1,34.2
