,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,31.2,82.8,40.8,35.8,83.0,43.7,26.5,82.2,38.1
MobileNet,22.0,82.8,34.8,25.2,82.4,39.5,16.2,81.4,32.6
SqueezeNet,30.4,83.6,41.6,34.4,83.1,48.4,26.5,81.7,38.9
DenseNet,26.4,82.0,28.4,35.0,81.4,34.1,21.4,80.6,24.2
VGG11,24.8,82.4,36.8,28.4,82.2,37.3,20.5,81.5,33.9
VGG13,30.8,83.6,44.8,37.4,82.6,49.7,27.5,82.0,42.0
VGG16,26.4,84.0,34.8,32.0,83.5,41.9,20.7,82.9,31.4
VGG19,30.0,82.8,49.2,35.5,82.1,54.0,26.6,81.4,45.9
