,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,25.6,82.8,39.6,32.4,83.5,44.8,22.5,82.8,36.1
MobileNet,26.8,87.2,45.2,31.4,85.6,43.5,20.2,85.0,40.5
SqueezeNet,18.0,83.6,38.4,20.0,82.5,47.4,6.1,82.4,37.5
DenseNet,34.0,84.8,53.6,39.4,84.3,55.7,28.3,83.3,48.2
VGG11,24.4,85.2,38.0,31.4,84.1,47.4,19.2,83.7,36.0
VGG13,27.2,82.8,34.4,32.0,82.4,37.9,23.1,81.2,30.3
VGG16,28.8,84.0,32.0,32.3,83.0,38.1,24.3,82.4,28.3
VGG19,27.2,84.4,46.8,35.0,83.6,52.3,22.9,82.6,43.8
