,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.5,0.9848484848484849,0.9848484848484849,0.4852941176470588,0.8923076923076924,0.8923076923076924
MobileNet,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9848484848484849,0.9848484848484849,0.9848484848484849,0.8923076923076924,0.8923076923076924,0.8923076923076924
SqueezeNet,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.5,0.9848484848484849,0.9848484848484849,0.4852941176470588,0.8923076923076924,0.8923076923076924
DenseNet,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.7348484848484849,0.9848484848484849,0.9848484848484849,0.7348484848484849,0.8923076923076924,0.8923076923076924
VGG11,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.5,0.9848484848484849,0.9848484848484849,0.4852941176470588,0.8923076923076924,0.8923076923076924
VGG13,0.9428571428571428,0.9142857142857143,0.9714285714285714,0.5,0.9545454545454546,0.9848484848484849,0.4852941176470588,0.7619047619047619,0.8923076923076924
VGG16,0.9428571428571428,0.9714285714285714,0.9714285714285714,0.5,0.9848484848484849,0.9848484848484849,0.4852941176470588,0.8923076923076924,0.8923076923076924
VGG19,0.9428571428571428,1.0,1.0,0.5,1.0,1.0,0.4852941176470588,1.0,1.0
