,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,0.5428571428571428,0.8285714285714286,0.5714285714285714,0.25,0.8070175438596492,0.47807017543859653,0.1826923076923077,0.7592105263157896,0.4289721498697656
MobileNet,0.5428571428571428,0.8285714285714286,0.6571428571428571,0.26809210526315785,0.7889254385964912,0.6008771929824561,0.22999999999999998,0.7866515837104073,0.6206693203597228
SqueezeNet,0.4857142857142857,0.8571428571428571,0.5142857142857142,0.25219298245614036,0.8305921052631579,0.38706140350877194,0.2096273291925466,0.8195121951219513,0.35071301247771836
DenseNet,0.5142857142857142,0.8285714285714286,0.6285714285714286,0.5274122807017544,0.7889254385964912,0.4654605263157895,0.5149456521739131,0.7632621951219511,0.4496058558558558
VGG11,0.4857142857142857,0.8285714285714286,0.6,0.35581140350877194,0.7889254385964912,0.48355263157894735,0.3091787439613527,0.7726190476190475,0.4107378129117259
VGG13,0.5714285714285714,0.8285714285714286,0.4857142857142857,0.42105263157894735,0.8070175438596492,0.4100877192982456,0.40674603174603174,0.7651709401709401,0.3637285635257238
VGG16,0.5428571428571428,0.8285714285714286,0.7714285714285715,0.41831140350877194,0.7889254385964912,0.6792763157894737,0.3836134453781513,0.7639566395663957,0.7080753353973168
VGG19,0.5428571428571428,0.8571428571428571,0.5428571428571428,0.3717105263157895,0.8020833333333333,0.41831140350877194,0.35539079822616404,0.8199404761904762,0.38811188811188807
