,Accuracy,Accuracy,Accuracy,Recall,Recall,Recall,F1-score,F1-score,F1-score
,SVM,DT,RF,SVM,DT,RF,SVM,DT,RF
ResNet18,0.5428571428571428,0.8857142857142857,0.7428571428571429,0.36403508771929827,0.8174342105263158,0.6973684210526316,0.28968253968253965,0.83796992481203,0.6995614035087718
MobileNet,0.5428571428571428,0.8285714285714286,0.6285714285714286,0.3821271929824561,0.7445175438596492,0.4682017543859649,0.33581871345029235,0.788358700123406,0.4186117936117937
SqueezeNet,0.6,0.8857142857142857,0.6857142857142857,0.4161184210526316,0.7708333333333334,0.49451754385964913,0.41071428571428575,0.8344155844155844,0.44774669774669773
DenseNet,0.5142857142857142,0.8,0.45714285714285713,0.3300438596491228,0.731359649122807,0.41776315789473684,0.3242424242424242,0.7676282051282051,0.3333333333333333
VGG11,0.6,0.9142857142857143,0.6571428571428571,0.4369517543859649,0.8125,0.5460526315789473,0.3746345029239766,0.8388278388278387,0.48787976729153204
VGG13,0.6,0.8571428571428571,0.8,0.48355263157894735,0.7576754385964912,0.6480263157894737,0.4114583333333333,0.7833164642375168,0.5986928104575163
VGG16,0.6,0.8571428571428571,0.6857142857142857,0.4342105263157895,0.7576754385964912,0.5773026315789473,0.4199633699633699,0.8087979094076655,0.5183982683982684
VGG19,0.45714285714285713,0.9142857142857143,0.7142857142857143,0.3607456140350877,0.8305921052631579,0.6271929824561403,0.3218050065876153,0.8661858974358975,0.6507400257400258
