"","Q_D","Q_A","Q_L","V4"
"1",0.245854814342139,-0.0274384824304791,0.0343427770891532,"1_resnet18_d"
"2",-0.0902299693473352,-0.0984119777027771,0.0454800745469566,"1_resnet18_l"
"3",0.293423446180805,0.358936658843786,0.0903827084708724,"1_mobilenet_d"
"4",0.261900426815644,0.227304011434062,0.435117800046308,"1_mobilenet_l"
"5",0.366249134145648,0.367372617514733,0.13870706207256,"1_squeezenet_d"
"6",0.31300717583543,0.133852120562821,0.180420242641252,"1_squeezenet_l"
"7",0.400404653618906,0.065506972011172,0.168185375170233,"1_densenet_d"
"8",0.0148583325417144,-0.0855659834448235,0.145541796743068,"1_densenet_l"
"9",0.185358266555904,0.0211793435521839,0.334416975028875,"1_vgg11_d"
"10",-0.0353448835396372,-0.0782860316909488,0.0904476934719016,"1_vgg11_l"
"11",0.494818513017391,0.349945325314046,0.296011949505372,"1_vgg13_d"
"12",0.402219526951241,0.0266241021276957,0.351178167780953,"1_vgg13_l"
"13",0.319649468314495,-0.00703667218201248,0.254734128828092,"1_vgg16_d"
"14",0.139817281408455,-0.135486690699284,0.181381154888157,"1_vgg16_l"
"15",0.183768189912663,0.153374203062821,0.132900556511991,"1_vgg19_d"
"16",0.14007183459033,0.0781631749350903,0.331121087124527,"1_vgg19_l"
"17",0.249344690878129,0.0440853599194309,0.0194034207001435,"2_resnet18_d"
"18",0.172458599547132,0.0631240977117649,0.00810337413712618,"2_resnet18_l"
"19",0.40120916448354,0.40112472606011,0.0695158615458599,"2_mobilenet_d"
"20",0.209426954145848,0.80403025220737,0.0290292374893569,"2_mobilenet_a"
"21",0.310642978595004,0.275322846042005,0.232751701895287,"2_mobilenet_l"
"22",0.380028104774621,0.386049480851588,0.135857247389712,"2_squeezenet_d"
"23",0.165385827957882,0.275360067424922,0.349326897876249,"2_squeezenet_l"
"24",0.26872502962978,0,0.0951030750161166,"2_densenet_d"
"25",0.0208718231456305,0.114472761406428,0.270022662161489,"2_densenet_l"
"26",0.157070215609386,0.232414994778693,-0.0217719281170177,"2_vgg11_d"
"27",0.202073322567316,-0.0855659834448235,0.351497169492694,"2_vgg11_l"
"28",0.477856265988251,0.318844443390713,0.19599525793375,"2_vgg13_d"
"29",0.391506143726977,0.242842488182801,0.147667285013323,"2_vgg13_l"
"30",0.353407985121118,0.232414994778693,0.149984393695011,"2_vgg16_d"
"31",0.0824404829670468,0.324417449735619,0.304727965069996,"2_vgg16_l"
"32",0.195323097243707,0.231213875653923,0.0962640486196333,"2_vgg19_d"
"33",0.207438920535067,0.252192639770902,0.324596994409565,"2_vgg19_l"
"34",0.21541409840074,-0.0413508023770311,0.0451204657929944,"3_resnet18_d"
"35",-0.0586347214564173,-0.0781631749350903,0.00903057510339618,"3_resnet18_l"
"36",0.33553276567588,0.464207082548528,0.0502801142365493,"3_mobilenet_d"
"37",0.281531581294683,-0.0866068708302494,0.256823662445983,"3_mobilenet_l"
"38",0.495336943721573,0.403389540800491,0.152577768279816,"3_squeezenet_d"
"39",0.246432029045072,0.335077024393813,0.136634444698108,"3_squeezenet_l"
"40",0.42595775973231,-0.0274384824304791,0.174355637529547,"3_densenet_d"
"41",0.386695803231914,0.124639872487013,0.20533698380105,"3_densenet_l"
"42",0.318301412930707,0.238055880257446,0.179538458489413,"3_vgg11_d"
"43",0.0442056872212086,-0.0848570567012974,0.138889321515747,"3_vgg11_l"
"44",0.562334157396462,0.359818117523229,0.183112790969658,"3_vgg13_d"
"45",0.421789738113912,-0.0279195123843904,0.303751368660179,"3_vgg13_l"
"46",0.294454021828376,0.102894309114297,0.145296364607956,"3_vgg16_d"
"47",0.217506975628536,0.0130476719484915,0.135671540207852,"3_vgg16_l"
"48",0.250747646225874,0.168208173463588,0.201813738757196,"3_vgg19_d"
"49",0.106708198729589,0.256045778249595,0.279387680887389,"3_vgg19_l"
"50",0.0473879102207274,-0.21320071635561,0.0328428330902384,"4_resnet18_d"
"51",-0.0649688264526191,-0.0866068708302494,0.0133414889582329,"4_resnet18_l"
"52",0.384987488109951,0.422297377314611,0.177880529090375,"4_mobilenet_d"
"53",0.413618234438049,0.80403025220737,0.227395693666629,"4_mobilenet_a"
"54",-0.0364163427697112,-0.0436904143096983,0.0925424120448158,"4_mobilenet_l"
"55",0.450878685570044,0.418792685765856,0.188164564656748,"4_squeezenet_d"
"56",0.0661123354249553,0.214625462533077,0.122186798979116,"4_squeezenet_l"
"57",0.448061324673539,0.0137836007923437,0.196406733451858,"4_densenet_d"
"58",0.347037701305794,0.0845726368014363,0.270584077305407,"4_densenet_l"
"59",0.257289921985959,-0.0274384824304791,0.145296364607956,"4_vgg11_d"
"60",0.175541848506986,0.121257933669018,0.233492067031578,"4_vgg11_l"
"61",0.544802532514899,0.348600239009121,0.26850330666566,"4_vgg13_d"
"62",0.23837076789329,-0.0248682365650997,0.296892103111053,"4_vgg13_l"
"63",0.216207340382069,0.21320071635561,0.158740359936152,"4_vgg16_d"
"64",0.052770632238442,0.0126622862732931,0.12191133832805,"4_vgg16_l"
"65",0.290205922173532,-0.0502518907629606,0.12717570709623,"4_vgg19_d"
"66",0.198421660008752,0.0595139700643616,0.309417343354095,"4_vgg19_l"
"67",0.274817046138349,-0.0815016078203043,0.0313876021148496,"5_resnet18_d"
"68",-0.210378936423958,-0.122376529514507,0.0559659285159914,"5_resnet18_l"
"69",0.461766589803384,0.308898802876396,0.149995541221407,"5_mobilenet_d"
"70",0.0618922059817738,-0.0781631749350903,0.325100703722263,"5_mobilenet_l"
"71",0.276611397647372,0.37015579751595,0.0958546380445424,"5_squeezenet_d"
