"","Q_D","Q_A","Q_L","V4"
"1",0.588480874682354,0.197951895616224,0.350678757349597,"1_mobilenet_d"
"2",0.353609774197905,1,0.140042310839731,"1_mobilenet_a"
"3",0.151790143546999,0.0716497720831838,0.590960771269222,"1_mobilenet_l"
"4",0.671660494259468,0.32904437697703,0.387919503158811,"1_squeezenet_d"
"5",0.202346911134864,0.696630546019236,0.00812981262217314,"1_squeezenet-a"
"6",0.361957928234885,0.0887534804442811,0.727554587562165,"1_squeezenet_l"
"7",0.411663875177535,0.246946341874312,0.346069522975313,"1_densenet_d"
"8",0.0442012217747381,0.46969696969697,0.0116701925699776,"1_densenet_a"
"9",0.241889128375365,-0.0561688770016963,0.572034405908921,"1_densenet_l"
"10",0.582794237108619,0.254256690465491,0.345162394608227,"1_vgg11_d"
"11",0.202346911134864,0.696630546019236,0.00812981262217314,"1_vgg11_a"
"12",0.0903395032609418,0.0247736202300326,0.677391568607758,"1_vgg11_l"
"13",0.754920645304084,0.0628968137344118,0.419050835277088,"1_vgg13_d"
"14",0.202346911134864,0.696630546019236,0.00812981262217314,"1_vgg13_a"
"15",0.481610552489966,0.0953090361009956,0.73639543805722,"1_vgg13_l"
"16",0.664930579413067,0.232414994778693,0.341093540499943,"1_vgg16_d"
"17",0.209426954145848,0.80403025220737,0.120955156205654,"1_vgg16_a"
"18",0.48421052631579,0.0505156820282722,0.734404178459554,"1_vgg16_l"
"19",0.65354555819636,0.239320525276911,0.312880158789814,"1_vgg19_d"
"20",0.202346911134864,0.696630546019236,0.00812981262217314,"1_vgg19_a"
"21",0.399632328725403,0.12293791451157,0.662835621063677,"1_vgg19_l"
"22",0.68232868637135,0.349945325314046,0.399495801771478,"2_resnet18_d"
"23",0.209426954145848,0.80403025220737,0.0290292374893569,"2_resnet18_a"
"24",0.398862891940876,0.245913684176739,0.614305178256399,"2_resnet18_l"
"25",0.625521009939816,0.401111798259325,0.388678311680526,"2_mobilenet_d"
"26",0.209426954145848,0.80403025220737,0.0290292374893569,"2_mobilenet_a"
"27",0.347085795477626,0.194529773977621,0.648496796729632,"2_mobilenet_l"
"28",0.645671515326525,0.365278696475285,0.368664993302726,"2_squeezenet_d"
"29",0.209426954145848,0.80403025220737,0.227395693666629,"2_squeezenet-a"
"30",0.246774058396412,0.0623297993338971,0.648114078117507,"2_squeezenet_l"
"31",0.452437010113342,0.394771016975861,0.195108727970681,"2_densenet_d"
"32",0.209426954145848,0.80403025220737,0.0290292374893569,"2_densenet_a"
"33",0.2776680184721,0.205935834262269,0.522508051491599,"2_densenet_l"
"34",0.608881852770903,0.348155311911396,0.366326546580574,"2_vgg11_d"
"35",0.209426954145848,0.80403025220737,0.227395693666629,"2_vgg11_a"
"36",0.216359592177612,0.0759737176397586,0.604680238107127,"2_vgg11_l"
"37",0.631963693144421,0.178038121598575,0.46577180359327,"2_vgg13_d"
"38",0.209426954145848,0.80403025220737,0.227395693666629,"2_vgg13_a"
"39",0.462788315214786,0.195245397880443,0.791867813335159,"2_vgg13_l"
"40",0.720617470634689,0.318844443390713,0.356569686120437,"2_vgg16_d"
"41",0.209426954145848,0.80403025220737,0.0290292374893569,"2_vgg16_a"
"42",0.339080283408651,0.190692517849118,0.607094140871208,"2_vgg16_l"
"43",0.587737653354533,0.318844443390713,0.214886367132184,"2_vgg19_d"
"44",0.353609774197905,1,0.140042310839731,"2_vgg19_a"
"45",0.260004498386637,0.220192753025272,0.62893207547044,"2_vgg19_l"
"46",0.731591972234294,0.348600239009121,0.431523171426953,"3_resnet18_d"
"47",0.353609774197905,1,0.140042310839731,"3_resnet18_a"
"48",0.404730967044143,0.189185043470329,0.602294902425993,"3_resnet18_l"
"49",0.661486042791744,0.414623969614594,0.379236370511982,"3_mobilenet_d"
"50",0.353609774197905,1,0.140042310839731,"3_mobilenet_a"
"51",0.469560545635163,0.204257029918379,0.616614246514154,"3_mobilenet_l"
"52",0.626479285512764,0.352222156912706,0.329427246229387,"3_squeezenet_d"
"53",0.353609774197905,1,0.140042310839731,"3_squeezenet-a"
"54",0.192543944936493,0.0364743326208039,0.505687032828883,"3_squeezenet_l"
"55",0.615688786404512,0.429772247480203,0.312921732548108,"3_densenet_d"
"56",0.353609774197905,1,0.140042310839731,"3_densenet_a"
"57",0.35326891685222,0.152962459492962,0.630810192475222,"3_densenet_l"
"58",0.697788575864495,0.378276843397439,0.291361198075951,"3_vgg11_d"
"59",0.225732160954004,0.685344416842342,-0.102169294298014,"3_vgg11_a"
"60",0.271207090985055,0.147341893736751,0.527244224372077,"3_vgg11_l"
"61",0.785111622579256,0.318056198814282,0.473465719736174,"3_vgg13_d"
"62",0.353609774197905,1,0.140042310839731,"3_vgg13_a"
"63",0.531381689741081,0.115361454277773,0.886213361309709,"3_vgg13_l"
"64",0.696022322011317,0.35228714260927,0.329129106800531,"3_vgg16_d"
"65",0.353609774197905,1,0.140042310839731,"3_vgg16_a"
"66",0.444675837747006,0.165060371765894,0.538053047907586,"3_vgg16_l"
"67",0.676359340351317,0.355013921777125,0.22949708466726,"3_vgg19_d"
"68",0.353609774197905,1,0.140042310839731,"3_vgg19_a"
"69",0.410924052301332,0.170421510221511,0.616473040706007,"3_vgg19_l"
"70",0.581122701349226,0.348600239009121,0.36679469571291,"4_resnet18_d"
"71",0.353609774197905,1,0.140042310839731,"4_resnet18_a"
"72",0.505412636999159,0.0384995251754509,0.65237905908811,"4_resnet18_l"
"73",0.53744032716494,0.296078262731896,0.174837691298402,"4_mobilenet_d"
"74",0.353609774197905,1,0.140042310839731,"4_mobilenet_a"
"75",0.294621843142787,-0.0620125972782687,0.551675711111022,"4_mobilenet_l"
"76",0.733511788114343,0.3672063019255,0.446195498280662,"4_squeezenet_d"
"77",0.413618234438049,0.80403025220737,0.0290292374893569,"4_squeezenet-a"
"78",0.211769229174481,0.156833081668717,0.623317522369838,"4_squeezenet_l"
"79",0.477468698458148,0.381894568371275,0.362782148761751,"4_densenet_d"
"80",0.353609774197905,1,0.140042310839731,"4_densenet_a"
"81",0.432143910576371,0.198692619480465,0.712590426495703,"4_densenet_l"
"82",0.503938743669483,0.365278696475285,0.312880158789814,"4_vgg11_d"
"83",0.353609774197905,1,0.140042310839731,"4_vgg11_a"
"84",0.209801711894099,0.0368354734341879,0.607631236159748,"4_vgg11_l"
"85",0.830312678281024,0.338320364247874,0.559776067802904,"4_vgg13_d"
"86",0.353609774197905,1,0.140042310839731,"4_vgg13_a"
"87",0.436696065415212,0.175651152753112,0.720781196030822,"4_vgg13_l"
"88",0.794719414239026,0.381385035698237,0.457768565898854,"4_vgg16_d"
"89",0.353609774197905,1,0.140042310839731,"4_vgg16_a"
"90",0.404818917334582,0.165197436409422,0.582761348329894,"4_vgg16_l"
"91",0.669307146555103,0.349945325314046,0.348957176246171,"4_vgg19_d"
"92",0.353609774197905,1,0.140042310839731,"4_vgg19_a"
"93",0.274621637599983,0.18914397919668,0.664980982711721,"4_vgg19_l"
"94",0.68232868637135,0.206217780988634,0.363396783539116,"5_resnet18_d"
"95",0.290323829019587,0.696630546019236,0.186985690309982,"5_resnet18_a"
"96",0.259262888282842,0.139655096932732,0.679627381701475,"5_resnet18_l"
"97",0.623858033272125,0.201269803950118,0.234959138854784,"5_mobilenet_d"
"98",0.290323829019587,0.696630546019236,0.186985690309982,"5_mobilenet_a"
"99",0.373102071485149,0.298418838781196,0.553081256602042,"5_mobilenet_l"
"100",0.712806293937458,0.37015579751595,0.321973271380386,"5_squeezenet_d"
"101",0.290323829019587,0.696630546019236,0.186985690309982,"5_squeezenet-a"
"102",0.173312240505607,-0.0409044429410126,0.619616818463884,"5_squeezenet_l"
"103",0.545507379952074,0.224974436175569,0.357067319114781,"5_densenet_d"
"104",0.290323829019587,0.696630546019236,0.186985690309982,"5_densenet_a"
"105",0.0830112327585253,-0.0257012941088021,0.51222091527999,"5_densenet_l"
"106",0.587160501903177,0.201269803950118,0.336694023719741,"5_vgg11_d"
"107",0.290323829019587,0.696630546019236,0.186985690309982,"5_vgg11_a"
"108",0.165138891160268,0.125793627468824,0.54500831177656,"5_vgg11_l"
"109",0.836172356949401,0.184637236468999,0.561743873820873,"5_vgg13_d"
"110",0.290323829019587,0.696630546019236,0.186985690309982,"5_vgg13_a"
"111",0.426665376675037,0.134066611089974,0.711103050139741,"5_vgg13_l"
"112",0.773100736616381,0.21165014511268,0.354807940951051,"5_vgg16_d"
"113",0.290323829019587,0.696630546019236,0.186985690309982,"5_vgg16_a"
"114",0.304237062780886,-0.0380877537089269,0.660069759206469,"5_vgg16_l"
"115",0.806293773461514,0.238696481124063,0.406409324850996,"5_vgg19_d"
"116",0.290323829019587,0.696630546019236,0.186985690309982,"5_vgg19_a"
"117",0.216359592177612,0.158278578416164,0.631500732539298,"5_vgg19_l"
